SampleID	SeqProject	LCSETMax	ReadgroupsAggregated	GENDER	ANCESTRY	SeqTech	LibTech
Sample-001	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-002	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-003	G66919	LCSET-5036	3	Male	African American	HiSeq2000	SAGE
Sample-004	G66919	LCSET-5036	3	Male	African American	HiSeq2000	SAGE
Sample-005	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-006	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-007	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-008	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-009	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-010	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-011	G66919	LCSET-5036	3	Female	African American	HiSeq2000	SAGE
Sample-012	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-013	G66919	LCSET-5036	4	Female	White	HiSeq2000	SAGE
Sample-014	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-015	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-016	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-017	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-018	G66919	LCSET-5036	5	Male	White	HiSeq2000	SAGE
Sample-019	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-020	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-021	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-022	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-023	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-024	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-025	G66919	LCSET-5036	2	Female	White	HiSeq2000	SAGE
Sample-026	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-027	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-028	G66919	LCSET-5036	3	Male	African American	HiSeq2000	SAGE
Sample-029	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-030	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-031	G66919	LCSET-5036	4	Female	White	HiSeq2000	SAGE
Sample-032	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-033	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-034	G66919	LCSET-5036	3	Female	African American	HiSeq2000	SAGE
Sample-035	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-036	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-037	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-038	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-039	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-040	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-041	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-042	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-043	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-044	G66919	LCSET-5036	3	Male	African American	HiSeq2000	SAGE
Sample-045	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-046	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-047	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-048	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-049	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-050	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-051	G66919	LCSET-5036	3	Female	African American	HiSeq2000	SAGE
Sample-052	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-053	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-054	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-055	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-056	G66919	LCSET-5036	3	Male	Unknown	HiSeq2000	SAGE
Sample-057	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-058	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-059	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-060	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-061	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-062	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-063	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-064	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-065	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-066	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE
Sample-067	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE
Sample-068	G66919	LCSET-5036	3	Female	African American	HiSeq2000	SAGE
Sample-069	G67881	LCSET-5226	2	Male	African American	HiSeqX	SAGE
Sample-070	G67881	LCSET-5226	5	Male	White	HiSeqX	SAGE
Sample-071	G67881	LCSET-5270	4	Male	White	HiSeqX	SAGE
Sample-072	G67881	LCSET-5270	4	Male	White	HiSeqX	SAGE
Sample-073	G67881	LCSET-5270	3	Male	White	HiSeqX	SAGE
Sample-074	G67881	LCSET-5270	3	Female	White	HiSeqX	SAGE
Sample-075	G67881	LCSET-5270	3	Male	White	HiSeqX	SAGE
Sample-076	G67881	LCSET-5270	3	Female	White	HiSeqX	SAGE
Sample-077	G67881	LCSET-5270	3	Female	African American	HiSeqX	SAGE
Sample-078	G67881	LCSET-5270	3	Male	African American	HiSeqX	SAGE
Sample-079	G67881	LCSET-5270	3	Female	White	HiSeqX	SAGE
Sample-080	G67881	LCSET-5270	3	Male	White	HiSeqX	SAGE
Sample-081	G67881	LCSET-5270	3	Male	White	HiSeqX	SAGE
Sample-082	G67881	LCSET-5270	3	Male	White	HiSeqX	SAGE
Sample-083	G67881	LCSET-5270	4	Male	White	HiSeqX	SAGE
Sample-084	G67881	LCSET-5270	3	Female	White	HiSeqX	SAGE
Sample-085	G67881	LCSET-5270	3	Female	White	HiSeqX	SAGE
Sample-086	G67881	LCSET-5270	3	Male	White	HiSeqX	SAGE
Sample-087	G67881	LCSET-5270	3	Female	White	HiSeqX	SAGE
Sample-088	G67881	LCSET-5380	4	Female	White	HiSeqX	SAGE
Sample-089	G67881	LCSET-5380	4	Male	White	HiSeqX	SAGE
Sample-090	G67881	LCSET-5380	3	Male	White	HiSeqX	SAGE
Sample-091	G67881	LCSET-5431	4	Male	White	HiSeqX	SAGE
Sample-092	G67881	LCSET-5431	3	Male	White	HiSeqX	SAGE
Sample-093	G67881	LCSET-5431	2	Male	White	HiSeqX	SAGE
Sample-094	G67881	LCSET-5432	6	Female	White	HiSeqX	SAGE
Sample-095	G67881	LCSET-5432	6	Male	White	HiSeqX	SAGE
Sample-096	G67881	LCSET-5432	6	Female	White	HiSeqX	SAGE
Sample-097	G67881	LCSET-5432	5	Male	White	HiSeqX	SAGE
Sample-098	G67881	LCSET-5432	4	Male	White	HiSeqX	SAGE
Sample-099	G67881	LCSET-5432	6	Male	White	HiSeqX	SAGE
Sample-100	G67881	LCSET-5432	5	Male	White	HiSeqX	SAGE
Sample-101	G67881	LCSET-5433	5	Male	African American	HiSeqX	SAGE
Sample-102	G67881	LCSET-5433	5	Male	White	HiSeqX	SAGE
Sample-103	G67881	LCSET-5433	7	Male	White	HiSeqX	SAGE
Sample-104	G67881	LCSET-5433	5	Male	White	HiSeqX	SAGE
Sample-105	G67881	LCSET-5433	5	Female	White	HiSeqX	SAGE
Sample-106	G67881	LCSET-5433	5	Male	White	HiSeqX	SAGE
Sample-107	G67881	LCSET-5433	5	Female	White	HiSeqX	SAGE
Sample-108	G67881	LCSET-5433	5	Male	White	HiSeqX	SAGE
Sample-109	G67881	LCSET-5433	5	Male	African American	HiSeqX	SAGE
Sample-110	G67881	LCSET-5434	10	Male	African American	HiSeqX	SAGE
Sample-111	G67881	LCSET-5434	6	Male	White	HiSeqX	SAGE
Sample-112	G67881	LCSET-5434	6	Male	White	HiSeqX	SAGE
Sample-113	G67881	LCSET-5434	5	Male	White	HiSeqX	SAGE
Sample-114	G67881	LCSET-5434	6	Male	White	HiSeqX	SAGE
Sample-115	G67881	LCSET-5434	5	Female	African American	HiSeqX	SAGE
Sample-116	G67881	LCSET-5434	5	Female	White	HiSeqX	SAGE
Sample-117	G67881	LCSET-5434	6	Female	White	HiSeqX	SAGE
Sample-118	G67881	LCSET-5434	5	Male	White	HiSeqX	SAGE
Sample-119	G67881	LCSET-5434	6	Male	White	HiSeqX	SAGE
Sample-120	G67881	LCSET-5434	5	Female	African American	HiSeqX	SAGE
Sample-121	G67881	LCSET-5434	5	Female	White	HiSeqX	SAGE
Sample-122	G67881	LCSET-5434	5	Male	African American	HiSeqX	SAGE
Sample-123	G67881	LCSET-5434	6	Male	White	HiSeqX	SAGE
Sample-124	G67881	LCSET-5434	5	Male	White	HiSeqX	SAGE
Sample-125	G67881	LCSET-5435	5	Male	White	HiSeqX	SAGE
Sample-126	G67881	LCSET-5435	4	Male	White	HiSeqX	SAGE
Sample-127	G67881	LCSET-5435	8	Male	African American	HiSeqX	SAGE
Sample-128	G67881	LCSET-5435	3	Female	White	HiSeqX	SAGE
Sample-129	G67881	LCSET-5435	3	Male	White	HiSeqX	SAGE
Sample-130	G67881	LCSET-5435	3	Male	African American	HiSeqX	SAGE
Sample-131	G67881	LCSET-5435	3	Male	White	HiSeqX	SAGE
