SampleID	SeqProject	LCSETMax	ReadgroupsAggregated	GENDER	ANCESTRY	SeqTech	LibTech
Sample-132	G67881	LCSET-5435	5	Male	White	HiSeqX	SAGE
Sample-133	G67881	LCSET-5435	3	Male	White	HiSeqX	SAGE
Sample-134	G67881	LCSET-5435	3	Female	African American	HiSeqX	SAGE
Sample-135	G67881	LCSET-5435	3	Male	White	HiSeqX	SAGE
Sample-136	G67881	LCSET-5435	5	Male	African American	HiSeqX	SAGE
Sample-137	G67881	LCSET-5435	3	Female	White	HiSeqX	SAGE
Sample-138	G67881	LCSET-5435	3	Male	White	HiSeqX	SAGE
Sample-139	G67881	LCSET-5435	3	Male	White	HiSeqX	SAGE
Sample-140	G67881	LCSET-5435	5	Male	White	HiSeqX	SAGE
Sample-141	G67881	LCSET-5436	6	Male	White	HiSeqX	SAGE
Sample-142	G67881	LCSET-5436	4	Male	White	HiSeqX	SAGE
Sample-143	G67881	LCSET-5436	4	Female	White	HiSeqX	SAGE
Sample-144	G67881	LCSET-5436	4	Female	White	HiSeqX	SAGE
Sample-145	G67881	LCSET-5436	4	Female	Asian	HiSeqX	SAGE
Sample-146	G67881	LCSET-5436	4	Male	White	HiSeqX	SAGE
Sample-147	G67881	LCSET-5436	5	Male	White	HiSeqX	SAGE
Sample-148	G67881	LCSET-5436	6	Female	White	HiSeqX	SAGE
Sample-149	G67881	LCSET-5436	4	Male	African American	HiSeqX	SAGE
Sample-150	G67881	LCSET-5436	4	Male	White	HiSeqX	SAGE
Sample-151	G67881	LCSET-5436	4	Male	African American	HiSeqX	SAGE
Sample-152	G67881	LCSET-5436	6	Female	African American	HiSeqX	SAGE
Sample-153	G67881	LCSET-5436	4	Male	White	HiSeqX	SAGE
Sample-154	G67881	LCSET-5436	4	Male	White	HiSeqX	SAGE
Sample-155	G67881	LCSET-5436	4	Male	White	HiSeqX	SAGE
Sample-156	G72990	LCSET-5895	10	Male	White	HiSeqX	SAGE
Sample-157	G72990	LCSET-5895	9	Male	Asian	HiSeqX	SAGE
Sample-158	G72990	LCSET-5895	10	Male	White	HiSeqX	SAGE
Sample-159	G72990	LCSET-5895	10	Female	White	HiSeqX	SAGE
Sample-160	G72990	LCSET-5895	9	Male	White	HiSeqX	SAGE
Sample-161	G72990	LCSET-5895	9	Female	White	HiSeqX	SAGE
Sample-162	G72990	LCSET-5895	9	Male	White	HiSeqX	SAGE
Sample-163	G72990	LCSET-5895	10	Male	White	HiSeqX	SAGE
Sample-164	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-165	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-166	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-167	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-168	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-169	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-170	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-171	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-172	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-173	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-174	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-175	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-176	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-177	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-178	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-179	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-180	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-181	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-182	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-183	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-184	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-185	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-186	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-187	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-188	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-189	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-190	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-191	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-192	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-193	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-194	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-195	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-196	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-197	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-198	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-199	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-200	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-201	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-202	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-203	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-204	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-205	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-206	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-207	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-208	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-209	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-210	G76371	LCSET-6032	1	NA	NA	HiSeqX	SAGE
Sample-211	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-212	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-213	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-214	G76371	LCSET-6032	1	Female	African American	HiSeqX	SAGE
Sample-215	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-216	G76371	LCSET-6032	1	Female	African American	HiSeqX	SAGE
Sample-217	G76371	LCSET-6032	1	Female	White	HiSeqX	SAGE
Sample-218	G76371	LCSET-6032	1	Female	White	HiSeqX	SAGE
Sample-219	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-220	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-221	G76371	LCSET-6032	1	Female	White	HiSeqX	SAGE
Sample-222	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-223	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-224	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-225	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-226	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-227	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-228	G76371	LCSET-6032	1	Female	White	HiSeqX	SAGE
Sample-229	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-230	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-231	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-232	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-233	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-234	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-235	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-236	G76371	LCSET-6032	1	Female	White	HiSeqX	SAGE
Sample-237	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-238	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-239	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-240	G76371	LCSET-6032	1	Female	White	HiSeqX	SAGE
Sample-241	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-242	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-243	G76371	LCSET-6032	1	Female	White	HiSeqX	SAGE
Sample-244	G76371	LCSET-6032	1	Female	White	HiSeqX	SAGE
Sample-245	G76371	LCSET-6032	1	Female	White	HiSeqX	SAGE
Sample-246	G76371	LCSET-6032	1	Male	White	HiSeqX	SAGE
Sample-247	G76371	LCSET-6032	1	Female	White	HiSeqX	SAGE
Sample-248	G77324	LCSET-6056	1	Female	African American	HiSeqX	SAGE
Sample-249	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-250	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-251	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-252	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-253	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-254	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-255	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-256	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-257	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-258	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-259	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-260	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-261	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-262	G77324	LCSET-6056	3	Male	White	HiSeqX	SAGE
Sample-263	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-264	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-265	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-266	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-267	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-268	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-269	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-270	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-271	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-272	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-273	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-274	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-275	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-276	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-277	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-278	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-279	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-280	G77324	LCSET-6056	1	Female	African American	HiSeqX	SAGE
Sample-281	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-282	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-283	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-284	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-285	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-286	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-287	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-288	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-289	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-290	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-291	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-292	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-293	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-294	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-295	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-296	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-297	G77324	LCSET-6056	1	Female	African American	HiSeqX	SAGE
Sample-298	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-299	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-300	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-301	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-302	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-303	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-304	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-305	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-306	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-307	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-308	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-309	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-310	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-311	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-312	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-313	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-314	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-315	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-316	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-317	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-318	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-319	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-320	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-321	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-322	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-323	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-324	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-325	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-326	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-327	G77324	LCSET-6056	1	Male	African American	HiSeqX	SAGE
Sample-328	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-329	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-330	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-331	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-332	G77324	LCSET-6056	1	Male	Asian	HiSeqX	SAGE
Sample-333	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-334	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-335	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-336	G77324	LCSET-6056	1	Male	White	HiSeqX	SAGE
Sample-337	G77324	LCSET-6056	1	Female	White	HiSeqX	SAGE
Sample-338	G77360	LCSET-6066	1	Female	African American	HiSeqX	SAGE
Sample-339	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-340	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-341	G77360	LCSET-6066	2	Male	White	HiSeqX	SAGE
Sample-342	G77360	LCSET-6066	6	Female	White	HiSeqX	SAGE
Sample-343	G77360	LCSET-6066	1	Female	White	HiSeqX	SAGE
Sample-344	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-345	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-346	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-347	G77360	LCSET-6066	1	Female	White	HiSeqX	SAGE
Sample-348	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-349	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-350	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-351	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-352	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-353	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-354	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-355	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-356	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-357	G77360	LCSET-6066	1	Female	White	HiSeqX	SAGE
Sample-358	G77360	LCSET-6066	2	Male	White	HiSeqX	SAGE
Sample-359	G77360	LCSET-6066	1	Male	African American	HiSeqX	SAGE
Sample-360	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-361	G77360	LCSET-6066	1	Male	African American	HiSeqX	SAGE
Sample-362	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-363	G77360	LCSET-6066	1	Female	White	HiSeqX	SAGE
Sample-364	G77360	LCSET-6066	1	Female	White	HiSeqX	SAGE
Sample-365	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-366	G77360	LCSET-6066	1	Male	African American	HiSeqX	SAGE
Sample-367	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-368	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
Sample-369	G77360	LCSET-6066	1	Female	African American	HiSeqX	SAGE
Sample-370	G77360	LCSET-6066	1	Male	White	HiSeqX	SAGE
