SampleID	nEvalVariants	novelSites	nVariantsAtComp	nInsertions	nDeletions	InsDelRatio	nSingletons	nHets	nHomRef	nHomVar	HetHomeRatio	nTi	nTv	TiTvRatio
Sample-001	3849129	349460	3499669	179803	211408	0.85	12897	2423976	34593271	1425153	1.7	1961937	1047296	1.87
Sample-002	3815534	334143	3481391	178521	210833	0.85	13763	2440755	34621095	1374779	1.78	1962590	1044838	1.88
Sample-003	4471107	415767	4055340	204906	249536	0.82	50084	3052977	33959285	1418130	2.15	2334836	1232177	1.89
Sample-004	4322699	393749	3928950	198618	240438	0.83	45329	2894440	34101318	1428259	2.03	2250662	1188404	1.89
Sample-005	3845876	343293	3502583	179544	209947	0.86	13121	2422755	34595799	1423121	1.7	1967284	1050950	1.87
Sample-006	3822538	336991	3485547	178618	211542	0.84	14816	2427692	34622357	1394846	1.74	1960315	1044733	1.88
Sample-007	3790689	334898	3455791	177930	206486	0.86	13229	2373956	34640120	1416733	1.68	1944108	1035546	1.88
Sample-008	3835222	345614	3489608	179600	210753	0.85	12854	2411804	34612691	1423418	1.69	1959828	1045843	1.87
Sample-009	3875078	355542	3519536	181325	212496	0.85	15414	2485966	34573880	1389112	1.79	1974180	1056028	1.87
Sample-010	3898966	370695	3528271	183038	215392	0.85	22611	2480728	34544288	1418238	1.75	1978199	1057880	1.87
Sample-011	4613935	426688	4187247	209740	258874	0.81	62316	3216318	33801393	1397617	2.3	2409832	1270060	1.9
Sample-012	3851371	352912	3498459	180549	211596	0.85	14580	2446619	34583541	1404752	1.74	1963276	1048992	1.87
Sample-013	3940047	375630	3564417	184620	212513	0.87	20005	2555434	34528199	1384613	1.85	1998513	1070450	1.87
Sample-014	3780544	323393	3457151	176618	208272	0.85	12160	2361997	34630743	1418547	1.67	1950279	1034730	1.88
Sample-015	3863274	352724	3510550	181084	211059	0.86	14135	2430226	34579257	1433048	1.7	1976935	1054927	1.87
Sample-016	3847662	350354	3497308	179722	212484	0.85	19554	2443632	34590528	1404030	1.74	1984102	1054375	1.88
Sample-017	3817885	342665	3475220	178715	209146	0.85	13520	2410701	34619652	1407184	1.71	1957148	1042159	1.88
Sample-018	3771249	319449	3451800	175831	207488	0.85	13157	2340024	34607059	1431225	1.63	1950756	1035143	1.88
Sample-019	3850656	343649	3507007	180218	212984	0.85	14746	2465138	34593163	1385518	1.78	1976448	1051834	1.88
Sample-020	3818501	341545	3476956	178918	210377	0.85	12682	2378363	34619036	1440138	1.65	1947230	1041402	1.87
Sample-021	3800904	328629	3472275	177845	208106	0.85	13129	2381813	34609828	1419091	1.68	1965200	1044159	1.88
Sample-022	3909806	358222	3551584	182793	213385	0.86	18633	2532302	34538324	1377504	1.84	1997095	1066737	1.87
Sample-023	3900507	352935	3547572	182071	214429	0.85	23102	2532397	34540510	1368110	1.85	2004766	1066998	1.88
Sample-024	3835486	351604	3483882	179290	211765	0.85	10041	2408380	34606106	1427106	1.69	1954202	1045140	1.87
Sample-025	3822385	328243	3494142	178716	210743	0.85	16863	2456302	34606036	1366083	1.8	1973227	1047971	1.88
Sample-026	3862959	353738	3509221	180205	215755	0.84	14083	2451366	34584888	1411593	1.74	1986902	1058983	1.88
Sample-027	3868157	351469	3516688	181332	212176	0.85	17701	2456376	34584870	1411781	1.74	1977726	1056133	1.87
Sample-028	4547183	442693	4104490	208722	255678	0.82	51852	3119369	33900266	1427814	2.18	2359122	1248986	1.89
Sample-029	3927994	363809	3564185	183983	215983	0.85	20383	2541853	34514806	1386141	1.83	2000521	1066947	1.87
Sample-030	3870432	354588	3515844	181636	213755	0.85	14721	2495582	34579684	1374850	1.82	1974028	1053880	1.87
