SampleID	Mean_Coverage	Contamination_Estimation	Percent_Chimeric_Reads	Median_Insert_Size	Standard_Deviation_Insert_Size	Percent_lt_30bp_frags
Sample-147	34.059	0.00000	0.005015	369	118.455	0.0616063
Sample-148	34.489	0.00000	0.008678	411	118.014	0.0486922
Sample-149	34.168	0.00000	0.003365	361	108.111	0.0876183
Sample-150	37.500	0.00023	0.003421	378	106.365	0.0704111
Sample-151	35.602	0.00000	0.004060	368	 95.515	0.0676375
Sample-152	33.832	0.02524	0.005713	356	105.346	0.0802066
Sample-153	35.867	0.00000	0.003497	391	106.240	0.0557576
Sample-154	33.970	0.00004	0.006202	387	108.647	0.0590025
Sample-155	33.658	0.00000	0.005541	397	118.826	0.0667896
Sample-156	42.653	0.00000	0.004052	436	103.752	0.0475617
Sample-157	43.220	0.00000	0.003753	431	110.722	0.0470313
Sample-158	44.943	0.00000	0.003899	432	102.945	0.0398454
Sample-159	40.093	0.00000	0.002882	317	126.127	0.0701834
Sample-160	40.873	0.00000	0.003735	422	 97.010	0.0410210
Sample-161	38.085	0.00002	0.003616	291	131.605	0.0798873
Sample-162	43.987	0.00000	0.003781	427	 99.211	0.0389156
Sample-163	40.473	0.00000	0.003023	285	111.453	0.0836050
Sample-164	31.742	0.00000	0.009374	433	 91.901	0.0044259
Sample-165	28.817	0.00000	0.008761	421	 90.160	0.0118439
Sample-166	28.349	0.00000	0.009904	409	109.053	0.0545949
Sample-167	28.253	0.00000	0.005752	293	111.532	0.0771596
Sample-168	28.316	0.00000	0.007283	411	113.754	0.0556072
Sample-169	28.335	0.00000	0.006224	384	105.402	0.0594167
Sample-170	32.261	0.00000	0.008973	403	 97.435	0.0382502
Sample-171	31.444	0.00000	0.007038	414	104.079	0.0474493
Sample-172	28.503	0.00031	0.009300	391	117.613	0.0622785
Sample-173	28.124	0.00000	0.006888	406	107.726	0.0524373
Sample-174	28.615	0.00850	0.008618	425	115.551	0.0564873
Sample-175	30.638	0.00000	0.008183	378	116.011	0.0615935
Sample-176	27.759	0.00000	0.009277	404	104.654	0.0433363
Sample-177	26.456	0.00473	0.006599	412	111.498	0.0552412
Sample-178	31.058	0.00000	0.007440	411	 96.894	0.0333477
Sample-179	32.527	0.00000	0.008917	429	 99.411	0.0374357
Sample-180	28.891	0.00816	0.010499	431	103.227	0.0386804
Sample-181	26.655	0.00000	0.009341	395	100.073	0.0487378
Sample-182	33.487	0.00000	0.010260	477	 97.786	0.0040389
Sample-183	28.100	0.00599	0.008412	405	107.712	0.0463967
Sample-184	26.534	0.00000	0.008814	411	 97.282	0.0285253
Sample-185	25.435	0.00000	0.007899	424	 97.894	0.0298218
Sample-186	31.448	0.00000	0.007814	433	 76.654	0.0042747
Sample-187	32.747	0.00000	0.008672	427	102.166	0.0375744
Sample-188	30.435	0.00000	0.009418	418	 67.511	0.0033621
Sample-189	31.592	0.00000	0.007967	427	 82.571	0.0042532
Sample-190	31.045	0.00000	0.008209	398	 95.158	0.0468151
Sample-191	26.510	0.00000	0.004304	310	121.860	0.1545489
Sample-192	32.453	0.00000	0.007454	413	105.793	0.0519344
Sample-193	32.081	0.00000	0.009569	416	 80.208	0.0036146
Sample-194	29.015	0.00000	0.010046	402	121.127	0.2447115
Sample-195	28.293	0.00000	0.010369	330	122.916	0.0679351
Sample-196	32.135	0.00000	0.009917	435	 96.700	0.0047713
Sample-197	32.308	0.00000	0.008207	408	 93.109	0.0271905
Sample-198	32.844	0.00000	0.009149	426	100.496	0.0277369
Sample-199	30.927	0.00000	0.008945	410	112.025	0.0513756
Sample-200	29.643	0.00000	0.004720	295	116.147	0.0764375
Sample-201	31.422	0.00000	0.007865	435	118.647	0.0538835
Sample-202	31.496	0.00000	0.008200	424	111.388	0.0506234
Sample-203	29.872	0.00000	0.011864	435	101.303	0.0390034
Sample-204	29.843	0.00000	0.006794	418	 70.131	0.0032515
Sample-205	33.685	0.00000	0.007969	401	 93.658	0.0366336
Sample-206	25.759	0.00000	0.007008	299	124.537	1.4496234
Sample-207	31.480	0.00000	0.009238	422	 92.918	0.0171788
Sample-208	31.970	0.00022	0.007513	425	 95.661	0.0183155
Sample-209	25.883	0.00000	0.008286	425	114.314	1.6969802
Sample-210	26.980	0.00000	0.005609	290	114.559	0.0648965
Sample-211	30.608	0.00000	0.006043	421	 86.237	0.0033822
Sample-212	28.119	0.00000	0.008471	408	101.816	0.0472979
Sample-213	32.451	0.00206	0.008626	412	108.725	0.0479636
Sample-214	28.546	0.00000	0.006314	398	110.029	0.0552452
Sample-215	30.397	0.00000	0.007321	410	115.386	0.0577384
Sample-216	29.972	0.00000	0.007008	381	105.656	0.0646647
Sample-217	30.641	0.00000	0.005958	351	118.095	0.0643941
Sample-218	28.829	0.00000	0.004077	301	116.272	0.0739706
Sample-219	26.571	0.00000	0.005526	432	116.610	0.0582857
Sample-220	31.039	0.00000	0.005802	395	108.446	0.0610014
Sample-221	27.950	0.00000	0.007610	345	120.290	0.0569787
Sample-222	30.934	0.00000	0.008979	413	108.072	0.0446063
Sample-223	32.100	0.00000	0.022478	414	 73.260	0.0037158
Sample-224	31.183	0.00000	0.009276	479	127.785	0.0488924
Sample-225	31.303	0.00000	0.008091	440	112.351	0.0451961
Sample-226	31.320	0.00000	0.008063	408	104.131	0.0476886
Sample-227	28.030	0.00000	0.006356	430	 75.759	0.0043467
Sample-228	28.605	0.00000	0.006642	394	109.881	0.0575178
Sample-229	30.663	0.00000	0.009575	423	 92.357	0.0096870
Sample-230	30.416	0.00000	0.006245	420	109.600	0.0530946
Sample-231	27.291	0.00000	0.007812	429	 96.175	0.0186527
Sample-232	30.223	0.00000	0.006259	407	105.080	0.4033910
Sample-233	24.448	0.00000	0.006221	404	117.716	0.0621586
Sample-234	28.161	0.00000	0.012589	413	109.150	0.0538688
Sample-235	30.554	0.00000	0.008519	436	117.708	0.0573813
Sample-236	28.648	0.00000	0.006165	419	 89.627	0.0034981
Sample-237	32.102	0.00000	0.008754	441	102.864	0.0334452
Sample-238	31.027	0.00000	0.009533	436	 82.213	0.0041744
Sample-239	26.929	0.00000	0.007403	427	 91.009	0.0146537
Sample-240	29.528	0.00000	0.014464	414	 77.500	0.0029668
Sample-241	28.423	0.00000	0.009773	396	116.520	0.0689561
Sample-242	32.067	0.00000	0.006580	414	 98.309	0.0387004
Sample-243	29.031	0.00585	0.008745	427	107.998	0.0442629
Sample-244	32.550	0.00000	0.010822	441	 69.475	0.0044890
Sample-245	32.293	0.00000	0.008207	475	125.801	0.0454318
Sample-246	34.207	0.00000	0.008305	427	 65.012	0.0033298
Sample-247	29.920	0.00188	0.005802	420	117.471	0.0511551
Sample-248	27.669	0.00000	0.004887	402	101.529	0.0515946
Sample-249	30.330	0.00000	0.006616	423	 73.297	0.0034130
Sample-250	31.236	0.00000	0.005914	400	 93.432	0.0439681
Sample-251	32.575	0.00000	0.006417	423	 48.062	0.0031991
Sample-252	31.129	0.00331	0.005302	424	 92.599	0.0191351
Sample-253	30.890	0.00000	0.007463	405	 94.532	0.0441137
Sample-254	32.941	0.00000	0.005061	425	 78.156	0.0032942
Sample-255	32.983	0.00000	0.005202	412	 96.497	0.0472550
Sample-256	32.573	0.00000	0.005253	423	 53.136	0.0035234
Sample-257	31.962	0.00000	0.005749	438	104.899	0.0431141
Sample-258	34.815	0.00000	0.008903	427	 83.332	0.0043587
Sample-259	32.996	0.00000	0.007781	393	 76.777	0.0044570
Sample-260	23.680	0.00000	0.004587	397	108.140	3.0991667
Sample-261	29.506	0.00000	0.007997	416	109.190	0.0482345
Sample-262	45.909	0.00009	0.007390	424	 79.183	0.0052864
Sample-263	35.996	0.00000	0.007057	403	 82.440	0.0035895
Sample-264	26.477	0.00000	0.007298	419	 82.127	0.0034262
Sample-265	28.051	0.00000	0.006493	423	 77.744	0.0039917
Sample-266	32.667	0.00000	0.007271	423	106.548	0.0489168
Sample-267	30.622	0.00000	0.007723	399	 67.939	0.0043386
Sample-268	31.401	0.00000	0.006764	416	 52.606	0.0034887
Sample-269	33.792	0.00000	0.006923	429	 82.175	0.0035460
Sample-270	33.122	0.00000	0.007030	438	 58.352	0.0030858
Sample-271	30.437	0.00000	0.006696	446	 64.519	0.0044114
Sample-272	34.009	0.00000	0.004926	450	 71.789	0.0043681
Sample-273	30.764	0.00000	0.004861	412	 76.992	0.0034052
Sample-274	28.922	0.00000	0.007899	414	 78.224	0.0035745
Sample-275	30.883	0.00000	0.006751	443	 82.512	0.0039211
Sample-276	31.969	0.00000	0.009082	433	 70.777	0.0029529
Sample-277	31.328	0.00000	0.006408	447	 92.047	0.0094612
Sample-278	29.041	0.00000	0.006311	423	 61.238	0.0035515
Sample-279	34.071	0.00000	0.004647	431	 60.044	0.0035240
Sample-280	31.333	0.01430	0.006579	441	 82.098	0.0047186
Sample-281	31.455	0.00000	0.006797	418	 74.194	0.0034647
Sample-282	29.632	0.00000	0.005782	432	 81.330	0.0038064
Sample-283	27.622	0.00000	0.007853	434	 78.397	0.0050765
Sample-284	30.181	0.00000	0.005168	439	104.930	0.0448251
Sample-285	31.843	0.00000	0.005513	432	 79.860	0.0037570
Sample-286	31.278	0.00000	0.006267	418	 74.775	0.0032132
Sample-287	32.266	0.00000	0.006276	423	 80.584	0.0032917
Sample-288	27.917	0.00000	0.007060	429	 85.894	0.0039908
Sample-289	27.686	0.00000	0.004648	360	110.931	0.0697114
Sample-290	30.189	0.00000	0.005470	427	 87.903	0.0107832
Sample-291	30.295	0.00000	0.004899	434	105.685	0.0461072
Sample-292	30.082	0.00053	0.003708	411	 78.528	0.0032861
Sample-293	29.197	0.00000	0.003208	405	 96.561	0.0474112
Sample-294	31.058	0.00000	0.004334	389	 99.564	0.0537303
Sample-295	32.508	0.00533	0.004285	419	 94.173	0.0360728
Sample-296	28.048	0.00000	0.004770	390	103.246	0.0517084
Sample-297	31.071	0.00000	0.004995	396	 94.427	0.0422172
Sample-298	32.534	0.00000	0.008058	422	 95.816	0.0305174
Sample-299	29.171	0.00000	0.007207	399	101.310	0.0485475
Sample-300	32.480	0.00000	0.005532	416	109.100	0.0475432
Sample-301	29.435	0.00000	0.007019	425	 83.618	0.0040831
Sample-302	32.490	0.00000	0.004056	427	 74.224	0.0034468
Sample-303	32.799	0.00000	0.004774	419	 85.872	0.0106572
Sample-304	28.124	0.00000	0.004530	339	114.436	0.0654530
Sample-305	28.794	0.00000	0.004036	415	102.247	0.0461247
Sample-306	31.471	0.00000	0.004774	422	 64.457	0.0035997
Sample-307	29.969	0.00000	0.005969	418	103.750	0.0453942
Sample-308	33.107	0.00000	0.006407	436	 64.639	0.0036109
Sample-309	31.962	0.00000	0.006042	439	 85.536	0.0045520
Sample-310	31.342	0.00000	0.005666	439	 68.528	0.0042257
Sample-311	26.091	0.00000	0.005729	410	101.435	0.0457105
Sample-312	31.447	0.00000	0.004954	437	 76.341	0.0033709
Sample-313	29.826	0.00000	0.005920	327	120.885	0.0615800
Sample-314	34.533	0.00000	0.005953	416	 53.515	0.0028738
Sample-315	32.161	0.00000	0.005346	447	 60.149	0.0044068
Sample-316	34.611	0.00000	0.004835	426	 79.394	0.0035866
Sample-317	29.548	0.00000	0.005167	430	 85.111	0.0075838
Sample-318	31.129	0.00000	0.005174	394	 76.927	0.0039426
Sample-319	32.652	0.00000	0.005529	419	 74.685	0.0030908
Sample-320	28.739	0.00000	0.005904	427	 96.519	0.0351424
Sample-321	34.261	0.00000	0.004327	427	 78.537	0.0033314
Sample-322	29.777	0.00000	0.004365	435	 73.602	0.0045867
Sample-323	24.986	0.00000	0.006785	418	 66.102	0.0033706
Sample-324	35.491	0.00000	0.005628	419	 84.557	0.0033777
Sample-325	32.337	0.00000	0.008549	422	 81.464	0.0050335
Sample-326	32.374	0.00000	0.005727	421	 61.835	0.0032676
Sample-327	33.450	0.00000	0.006113	415	102.730	0.0454973
Sample-328	31.012	0.00000	0.005510	429	 92.258	0.0099424
Sample-329	31.625	0.00000	0.005878	425	 70.041	0.0031369
Sample-330	30.936	0.00000	0.004645	422	104.134	0.0447271
Sample-331	32.304	0.00000	0.004801	422	 63.487	0.0038361
Sample-332	30.945	0.00000	0.004654	427	 59.182	0.0033752
Sample-333	29.973	0.00000	0.005338	424	 80.101	0.0032770
Sample-334	25.835	0.00000	0.004667	428	 77.971	0.0038985
Sample-335	31.031	0.00000	0.005253	417	 91.703	0.0378905
Sample-336	32.417	0.00000	0.004943	411	 82.635	0.0031803
Sample-337	29.405	0.00482	0.005778	435	109.529	0.0446777
Sample-338	30.572	0.00000	0.006559	409	 60.825	0.0033430
Sample-339	30.067	0.00000	0.005617	428	102.574	0.4706025
Sample-340	32.584	0.00000	0.007152	395	100.184	0.0555966
Sample-341	42.435	0.00000	0.006738	392	 76.570	0.0067739
Sample-342	35.356	0.00017	0.006439	405	114.379	0.0609192
Sample-343	30.123	0.00000	0.005831	428	 58.126	0.0041445
Sample-344	34.230	0.00000	0.007565	416	 92.172	0.0091885
Sample-345	31.379	0.00000	0.006974	414	102.821	0.0446037
Sample-346	32.581	0.00000	0.005370	421	 65.082	0.0034782
Sample-347	31.455	0.00000	0.008246	437	 56.528	0.0038168
Sample-348	32.779	0.00000	0.005306	421	 83.820	0.0039153
Sample-349	26.623	0.00000	0.005408	417	 41.197	0.0032078
Sample-350	32.736	0.00000	0.004859	412	 61.629	0.0032362
Sample-351	27.816	0.00000	0.005941	412	 76.812	0.0033948
Sample-352	29.398	0.00000	0.005951	339	118.421	0.0609335
Sample-353	32.526	0.00000	0.006868	398	 83.820	0.0051416
Sample-354	28.520	0.00000	0.007501	414	 52.832	0.0035198
Sample-355	33.168	0.00000	0.005374	409	 94.313	0.0400367
Sample-356	30.849	0.00000	0.006877	418	 98.750	0.0422931
Sample-357	34.069	0.00000	0.008224	442	 83.529	0.0041930
Sample-358	40.680	0.00000	0.006273	400	 98.579	0.0322792
Sample-359	32.179	0.00000	0.006182	416	 79.675	0.0028553
Sample-360	34.392	0.00000	0.006986	412	 85.551	0.0039442
Sample-361	30.333	0.00000	0.006441	401	 97.689	0.0511040
Sample-362	33.469	0.00000	0.008269	424	 79.375	0.0038277
Sample-363	33.432	0.00000	0.005693	400	 97.654	0.0458918
Sample-364	30.578	0.00000	0.006980	427	 74.849	0.0035913
Sample-365	32.213	0.00000	0.006417	418	 73.149	0.0031608
Sample-366	32.720	0.00000	0.003569	387	120.174	0.0649141
Sample-367	30.110	0.00000	0.006820	450	 88.886	0.0049498
Sample-368	25.356	0.00000	0.008984	362	116.812	0.1856472
Sample-369	33.063	0.00000	0.004773	408	102.701	0.0437014
Sample-370	30.933	0.00000	0.005286	423	 80.906	0.0036641
Sample-371	32.429	0.00000	0.005382	403	 92.881	0.0338139
Sample-372	29.690	0.00000	0.005974	430	104.555	0.0439988
Sample-373	32.200	0.00000	0.005712	415	 88.901	0.0049077
Sample-374	25.997	0.00000	0.006926	404	 82.275	0.1274470
Sample-375	28.999	0.00000	0.003726	402	121.870	4.1166186
Sample-376	31.004	0.00000	0.008675	381	119.168	0.0604463
Sample-377	33.098	0.00000	0.005710	419	 87.380	0.0040709
Sample-378	30.430	0.00000	0.007107	440	 44.657	0.0043356
Sample-379	33.590	0.00000	0.005479	412	100.554	0.0393996
Sample-380	31.555	0.00000	0.005893	427	 99.771	0.0386366
Sample-381	30.747	0.00000	0.006447	439	 85.762	0.0048763
Sample-382	34.995	0.00000	0.006391	426	 88.212	0.0168787
Sample-383	34.102	0.00000	0.006509	385	 65.558	0.0046984
Sample-384	34.278	0.00000	0.006260	400	 78.512	0.0052065
Sample-385	33.847	0.00000	0.006744	417	 78.823	0.0032836
Sample-386	31.948	0.00000	0.005630	410	 61.212	0.0036137
Sample-387	29.079	0.00000	0.007900	444	 68.224	0.0045563
Sample-388	26.044	0.00000	0.007181	404	 71.864	0.0031326
Sample-389	34.196	0.02564	0.005871	414	 70.030	0.0035782
Sample-390	34.466	0.00000	0.004787	417	 54.080	0.0031523
Sample-391	25.664	0.00000	0.006159	413	 61.817	0.0032922
Sample-392	34.002	0.00000	0.007479	412	 82.189	0.0036569
Sample-393	37.739	0.00000	0.006150	395	 69.634	0.0062755
Sample-394	33.670	0.00000	0.007620	400	 69.207	0.0031892
Sample-395	31.969	0.00000	0.006152	427	110.964	0.0436147
Sample-396	29.707	0.00000	0.002918	426	 58.528	0.0033801
Sample-397	31.731	0.00000	0.004850	407	 53.357	0.0036257
Sample-398	32.042	0.00000	0.005983	422	 75.001	0.0034896
Sample-399	32.608	0.00000	0.005079	413	 97.567	0.0362404
Sample-400	32.583	0.00000	0.008711	432	 74.113	0.0040006
Sample-401	28.620	0.00000	0.008115	399	 71.647	0.0039776
Sample-402	31.517	0.00000	0.007162	427	102.619	0.0382127
Sample-403	31.803	0.00000	0.007021	411	 68.806	0.0035003
Sample-404	31.431	0.00000	0.005263	419	 71.996	0.0033927
Sample-405	33.538	0.00000	0.007519	414	 72.975	0.0031551
Sample-406	26.387	0.00000	0.008438	417	104.656	0.0433954
Sample-407	32.444	0.00000	0.007599	430	 60.319	0.0037879
Sample-408	29.573	0.00008	0.007686	417	102.239	0.0436390
Sample-409	29.671	0.00000	0.008231	413	 57.474	0.0033045
Sample-410	33.514	0.00000	0.009244	414	 66.924	0.0029637
Sample-411	28.891	0.00572	0.007846	407	109.015	0.0501700
Sample-412	29.673	0.00000	0.005240	421	 94.728	0.0278408
Sample-413	26.238	0.00000	0.005615	421	106.473	0.0515986
Sample-414	33.169	0.00000	0.007746	414	 77.636	0.0027937
Sample-415	34.656	0.00000	0.007710	386	 63.917	0.0052762
Sample-416	25.353	0.00000	0.007917	430	 57.213	0.0038337
Sample-417	31.160	0.00000	0.007025	418	 78.484	0.0035919
Sample-418	31.805	0.00000	0.007694	423	 98.699	0.0379452
Sample-419	29.245	0.00000	0.008363	408	114.595	0.0540822
Sample-420	31.050	0.00000	0.006647	381	101.385	0.0589966
Sample-421	30.381	0.00000	0.008620	401	107.288	0.0586441
Sample-422	26.307	0.00000	0.007767	421	101.348	0.0485729
Sample-423	30.808	0.00000	0.008871	396	100.935	0.0494370
Sample-424	25.706	0.00000	0.013574	358	114.498	0.0698427
Sample-425	32.246	0.00000	0.006352	394	107.881	0.0549328
