SampleID	Mean_Coverage	Contamination_Estimation	Percent_Chimeric_Reads	Median_Insert_Size	Standard_Deviation_Insert_Size	Percent_lt_30bp_frags
Sample-001	39.771	0.00000	0.006817	365	 81.327	0.0055984
Sample-002	40.097	0.00000	0.003682	345	 68.687	0.0064346
Sample-003	40.846	0.00000	0.005409	353	 75.930	0.0065993
Sample-004	29.423	0.00000	0.005704	341	 87.434	0.0520538
Sample-005	42.422	0.00000	0.004530	359	 85.617	0.0072877
Sample-006	41.381	0.00000	0.003586	345	 72.598	0.0056361
Sample-007	43.119	0.00000	0.005031	355	 75.531	0.0063857
Sample-008	40.804	0.00000	0.005796	361	 74.739	0.0061761
Sample-009	44.677	0.00000	0.004832	344	 53.272	0.0059057
Sample-010	38.604	0.00383	0.009032	365	 56.442	0.0068505
Sample-011	25.660	0.00000	0.005954	339	 72.782	0.0078830
Sample-012	39.951	0.00000	0.005644	352	 62.314	0.0061559
Sample-013	57.392	0.00000	0.005686	326	 81.297	0.0333225
Sample-014	25.272	0.00000	0.006731	366	 71.973	0.0079673
Sample-015	43.846	0.00000	0.007218	324	 75.629	0.0047923
Sample-016	39.042	0.00000	0.005069	349	 74.284	0.0058930
Sample-017	42.663	0.00000	0.002528	326	 51.993	0.0031556
Sample-018	31.141	0.00108	0.003901	339	 69.669	0.0075845
Sample-019	40.408	0.00000	0.004548	354	 59.884	0.0064194
Sample-020	38.562	0.00000	0.004875	361	 75.819	0.0060728
Sample-021	32.903	0.00000	0.005708	344	 89.210	0.0576388
Sample-022	46.026	0.00000	0.004718	359	 72.014	0.0059735
Sample-023	41.451	0.00000	0.006007	353	 78.404	0.0061129
Sample-024	42.963	0.00000	0.003422	323	 45.202	0.0032426
Sample-025	33.294	0.00000	0.003523	307	 68.922	0.0036517
Sample-026	38.958	0.00000	0.004103	353	111.268	0.0972690
Sample-027	46.235	0.00014	0.003870	324	 61.580	0.0048536
Sample-028	42.838	0.00084	0.003346	306	102.448	0.0797822
Sample-029	37.991	0.00000	0.004225	350	 51.352	0.0063459
Sample-030	41.915	0.00000	0.006372	343	 51.447	0.0062628
Sample-031	29.590	0.00005	0.003185	349	 49.159	0.0072309
Sample-032	41.162	0.00000	0.004409	357	 69.452	0.0065066
Sample-033	38.967	0.00000	0.006092	349	 54.969	0.0067975
Sample-034	42.210	0.00000	0.004669	326	 87.066	0.0623353
Sample-035	45.684	0.00000	0.005471	319	 54.292	0.0033122
Sample-036	38.960	0.00000	0.006079	370	 66.496	0.0065722
Sample-037	45.971	0.00000	0.007016	333	 60.004	0.0036907
Sample-038	42.633	0.00000	0.006221	348	 60.675	0.0064857
Sample-039	43.660	0.00000	0.005077	346	101.590	0.0816756
Sample-040	37.658	0.00000	0.010292	362	100.187	0.0747702
Sample-041	47.721	0.00000	0.007447	349	 94.971	0.0579347
Sample-042	42.958	0.00000	0.005814	355	 62.186	0.0065314
Sample-043	46.277	0.00000	0.004644	342	 92.605	0.0675562
Sample-044	28.289	0.00000	0.005621	335	104.284	0.1171828
Sample-045	39.061	0.00011	0.004333	347	 68.800	0.0060698
Sample-046	40.458	0.00000	0.010201	368	 71.933	0.0063232
Sample-047	45.456	0.00000	0.005106	344	 75.022	0.0057716
Sample-048	41.601	0.00000	0.004218	332	 86.289	0.0523021
Sample-049	39.683	0.00000	0.004534	350	 67.229	0.0064848
Sample-050	36.684	0.00000	0.004652	370	 76.042	0.0058622
Sample-051	40.357	0.00000	0.007179	361	 72.628	0.0059967
Sample-052	41.519	0.00000	0.012731	354	 95.915	0.0555500
Sample-053	36.491	0.00000	0.007309	359	 36.870	0.0071995
Sample-054	39.600	0.00000	0.005895	350	 79.484	0.0060223
Sample-055	41.172	0.00000	0.005800	350	 92.201	0.0591821
Sample-056	45.751	0.00000	0.010387	353	102.901	0.0607349
Sample-057	25.781	0.00079	0.010556	353	 63.870	0.0080805
Sample-058	48.275	0.00000	0.004957	341	 91.894	0.0778200
Sample-059	44.509	0.00000	0.007085	346	100.408	0.0914635
Sample-060	43.279	0.00000	0.005470	351	 58.246	0.0063423
Sample-061	41.541	0.00000	0.003774	342	 74.120	0.0062642
Sample-062	27.038	0.00000	0.011340	361	103.503	0.0883221
Sample-063	41.436	0.00093	0.004351	324	 60.907	0.0049205
Sample-064	46.653	0.00000	0.007354	334	 59.262	0.0054094
Sample-065	42.316	0.00000	0.010831	340	 82.022	0.0158913
Sample-066	38.554	0.00000	0.006323	351	 72.307	0.0058574
Sample-067	37.891	0.00000	0.006078	336	 65.177	0.0057302
Sample-068	41.382	0.00000	0.004841	338	 73.178	0.0052342
Sample-069	37.878	0.01785	0.003540	410	119.857	1.2531245
Sample-070	36.991	0.00000	0.003804	366	100.214	0.0909111
Sample-071	37.556	0.00000	0.004655	389	112.538	0.0593301
Sample-072	34.328	0.00000	0.005249	395	107.505	0.0568216
Sample-073	36.738	0.00000	0.006054	365	112.319	0.0723879
Sample-074	34.606	0.00000	0.004135	390	119.745	0.0547851
Sample-075	34.382	0.00000	0.005466	327	115.351	0.0719986
Sample-076	37.748	0.00003	0.009037	375	102.842	0.0620619
Sample-077	38.641	0.00000	0.007327	416	106.882	0.0448763
Sample-078	36.117	0.00000	0.010537	366	116.732	0.0639964
Sample-079	36.830	0.00004	0.004701	364	100.706	0.0670204
Sample-080	34.367	0.00000	0.004118	364	105.559	0.0777279
Sample-081	35.500	0.00000	0.004320	369	112.696	0.0665756
Sample-082	35.338	0.00000	0.005585	386	114.217	0.0638124
Sample-083	35.613	0.00000	0.008241	377	112.331	0.0779697
Sample-084	34.240	0.00000	0.007136	384	109.110	0.0578687
Sample-085	34.691	0.00059	0.004700	302	117.758	0.0646784
Sample-086	36.658	0.00000	0.005880	368	108.680	0.0688306
Sample-087	37.552	0.00000	0.006880	331	110.571	0.0685354
Sample-088	43.464	0.00013	0.004936	286	109.461	0.0843025
Sample-089	46.265	0.00073	0.005924	348	 86.627	0.0559026
Sample-090	40.943	0.00000	0.005662	324	100.995	0.0973559
Sample-091	42.999	0.00003	0.005863	311	118.174	0.0677509
Sample-092	32.842	0.00189	0.000821	146	 18.800	0.0063031
Sample-093	45.715	0.00007	0.004987	227	106.551	0.0972549
Sample-094	36.622	0.00007	0.007940	377	108.180	0.0644104
Sample-095	37.891	0.00022	0.003980	382	104.745	0.0633489
Sample-096	35.311	0.00000	0.004627	382	112.883	0.0606647
Sample-097	34.582	0.00007	0.003604	338	 84.728	0.0540854
Sample-098	52.686	0.00082	0.001911	201	114.727	0.1121624
Sample-099	36.747	0.00011	0.003978	377	114.138	0.0709072
Sample-100	39.249	0.00001	0.006003	375	110.731	0.0720039
Sample-101	36.695	0.00003	0.004266	358	 99.289	0.0838335
Sample-102	35.486	0.00000	0.005531	387	106.573	0.0574434
Sample-103	34.772	0.00000	0.006239	409	103.316	0.0480409
Sample-104	37.549	0.00000	0.003334	374	 97.349	0.0639198
Sample-105	37.335	0.00018	0.006616	363	103.022	0.0760620
Sample-106	39.723	0.00000	0.004162	375	 87.551	0.0267144
Sample-107	34.170	0.00010	0.004270	295	118.119	0.0687084
Sample-108	34.150	0.00002	0.006171	381	109.672	0.0699593
Sample-109	38.632	0.00007	0.005286	387	110.297	0.0600589
Sample-110	33.462	0.00008	0.004331	351	112.154	0.0726923
Sample-111	33.588	0.00006	0.003463	327	119.142	0.0728402
Sample-112	34.215	0.00045	0.006192	381	113.341	0.0675756
Sample-113	34.625	0.00011	0.003770	282	120.678	0.0800993
Sample-114	33.801	0.00000	0.003677	354	106.326	0.0875788
Sample-115	36.248	0.00010	0.004236	363	110.678	0.0700795
Sample-116	33.788	0.00016	0.003679	333	120.908	0.0624457
Sample-117	34.571	0.00000	0.007480	375	110.692	0.0666034
Sample-118	33.758	0.00363	0.002954	262	120.766	0.0823017
Sample-119	34.065	0.00000	0.003931	386	112.852	0.0639383
Sample-120	35.687	0.00000	0.003664	389	105.073	0.0547069
Sample-121	35.753	0.00002	0.003196	263	120.820	0.0755566
Sample-122	33.978	0.00000	0.002820	384	116.044	0.0670381
Sample-123	33.350	0.00330	0.004918	376	109.619	0.0701621
Sample-124	33.784	0.00008	0.004071	237	109.205	0.0919674
Sample-125	34.577	0.00000	0.009254	390	119.114	0.0594488
Sample-126	33.641	0.00000	0.006901	369	106.692	0.0711400
Sample-127	33.410	0.00000	0.003743	395	109.992	0.0547597
Sample-128	36.779	0.00226	0.013593	386	108.780	0.0531674
Sample-129	33.384	0.00000	0.004641	370	110.094	0.0722644
Sample-130	36.018	0.00000	0.003659	373	106.474	0.0739709
Sample-131	36.165	0.00000	0.004486	336	117.751	0.0724496
Sample-132	34.435	0.00000	0.004623	358	112.405	0.0755025
Sample-133	38.765	0.00003	0.003974	368	112.449	0.0682442
Sample-134	37.198	0.00000	0.003634	377	111.162	0.0637622
Sample-135	33.934	0.00000	0.006514	335	118.711	0.0617431
Sample-136	35.026	0.00000	0.008812	336	119.214	0.0697905
Sample-137	34.196	0.00000	0.006096	376	115.329	0.0621116
Sample-138	34.194	0.00000	0.007287	301	115.688	0.0677594
Sample-139	33.842	0.00041	0.004178	317	112.892	0.0719321
Sample-140	35.099	0.00000	0.006126	380	114.567	0.0631761
Sample-141	34.847	0.00000	0.005914	392	114.031	0.0574640
Sample-142	36.615	0.00006	0.004462	390	100.620	0.0529578
Sample-143	34.332	0.01296	0.004883	353	 92.059	0.0757572
Sample-144	33.858	0.00000	0.006850	370	104.399	0.0701303
Sample-145	36.322	0.00000	0.002645	398	114.976	0.0544446
Sample-146	34.463	0.00000	0.004354	374	107.576	0.0667199
